repair_id;historical_day;failure_time;unit_id;machine_type;cell;repair_duration_min
REP-00001;H001;272,075;leg_press-01;leg_press;26;23,857
REP-00002;H001;299,23;treadmill-04;treadmill;35;16,496
REP-00003;H001;374,788;chest_fly-01;chest_fly;46;13,558
REP-00004;H001;404,372;lat_pulldown-01;lat_pulldown;36;20,592
REP-00005;H001;499,796;shoulder_press-02;shoulder_press;45;11,479
REP-00006;H001;605,559;lat_pulldown-01;lat_pulldown;36;32,827
REP-00007;H001;647,66;lat_pulldown-01;lat_pulldown;36;11,584
REP-00008;H001;683,127;leg_curl-02;leg_curl;24;18,456
REP-00009;H002;55,75;chest_press-01;chest_press;42;18,604
REP-00010;H002;223,351;chest_press-01;chest_press;42;32,963
REP-00011;H002;386,692;chest_press-01;chest_press;42;11,22
REP-00012;H002;560,778;seated_row-01;seated_row;15;26,008
REP-00013;H002;578,613;shoulder_press-01;shoulder_press;49;16,107
REP-00014;H002;631,839;leg_extension-01;leg_extension;12;21,467
REP-00015;H002;632,707;shoulder_press-01;shoulder_press;49;28,37
REP-00016;H002;632,793;chest_press-02;chest_press;47;18,774
REP-00017;H002;672,536;leg_press-02;leg_press;32;29,324
REP-00018;H002;682,485;shoulder_press-02;shoulder_press;45;30,421
REP-00019;H002;750,188;lat_pulldown-02;lat_pulldown;22;23,238
REP-00020;H002;760,035;chest_press-01;chest_press;42;13,048
REP-00021;H003;72,422;lat_pulldown-01;lat_pulldown;36;12,732
REP-00022;H003;176,974;chest_fly-01;chest_fly;46;16,407
REP-00023;H003;471,127;treadmill-02;treadmill;21;46,454
REP-00024;H003;529,752;biceps_curl-01;biceps_curl;11;25,033
REP-00025;H003;729,152;cable-02;cable;43;19,353
REP-00026;H004;124,772;shoulder_press-01;shoulder_press;49;12,416
REP-00027;H004;151,774;seated_row-01;seated_row;15;15,209
REP-00028;H004;419,379;seated_row-02;seated_row;29;21,946
REP-00029;H004;451,313;chest_press-01;chest_press;42;9,445
REP-00030;H004;521,401;leg_curl-02;leg_curl;24;38,972
REP-00031;H004;524,206;cable-01;cable;8;38,236
REP-00032;H004;804,426;seated_row-02;seated_row;29;30,575
REP-00033;H004;836,751;seated_row-01;seated_row;15;29,12
REP-00034;H005;143,341;chest_press-02;chest_press;47;31,843
REP-00035;H005;193,186;lat_pulldown-02;lat_pulldown;22;19,955
REP-00036;H005;206,274;leg_extension-02;leg_extension;10;34,517
REP-00037;H005;264,797;shoulder_press-01;shoulder_press;49;15,492
REP-00038;H005;622,041;leg_press-01;leg_press;26;18,137
REP-00039;H005;673,494;seated_row-01;seated_row;15;16,56
REP-00040;H005;734,688;leg_press-01;leg_press;26;21,345
REP-00041;H005;785,382;shoulder_press-01;shoulder_press;49;17,868
REP-00042;H005;876,979;lat_pulldown-01;lat_pulldown;36;23,172
REP-00043;H006;225,642;seated_row-02;seated_row;29;8,916
REP-00044;H006;244,255;shoulder_press-01;shoulder_press;49;26,875
REP-00045;H006;281,662;shoulder_press-01;shoulder_press;49;16,188
REP-00046;H006;382,286;chest_press-02;chest_press;47;16,341
