day_id;event_time;event_id;event_type;user_id;worker_id;profile;routine;resource;planned_order;assistance;cardio_planned;cable_planned;speed_m_per_min;origin;destination;duration_min;wait_min;outcome;water_liters;towel_count;stock_after;dissatisfaction
D001;2,954;1;visit;U-0001;;flexible;full_body;gym;;;True;False;59,81;;1;31,66;7,14;incomplete;;;12,0;0,24
D001;2,954;2;cardio;U-0001;;flexible;full_body;treadmill;;;True;;;;;;;not_completed;;;;
D001;3,205;3;registration;U-0001;R-01;flexible;;R-01;;;;;;;7;2,27;0,0;completed;;2,0;;
D001;3,279;4;visit;U-0002;;standard;pull;gym;;;False;False;65,92;;1;25,72;0,0;completed;;;12,0;0,0
D001;3,507;5;registration;U-0002;R-02;standard;;R-02;;;;;;;7;2,3;0,0;completed;;2,0;;
D001;3,885;6;visit;U-0003;;standard;pull;gym;;;False;False;81,51;;1;27,25;1,4;completed;;;12,0;0,01
D001;5,473;7;registration;U-0003;R-01;standard;;R-01;;;;;;;7;2,14;1,4;completed;;2,0;;
D001;5,599;8;exercise;U-0001;;flexible;full_body;leg_extension;4,0;False;;;;12;12;5,429;0,0;completed;0,439;;0,92;
D001;6,135;9;exercise;U-0002;;standard;pull;lat_pulldown;1,0;False;;;;22;22;6,894;0,0;completed;0,233;;1,0;
D001;7,27;10;visit;U-0004;;intense;legs;gym;;;False;False;60,65;;1;43,21;0,0;completed;;;16,0;0,0
D001;7,517;11;registration;U-0004;R-02;intense;;R-02;;;;;;;7;2,82;0,0;completed;;2,0;;
D001;7,923;12;exercise;U-0003;;standard;pull;lat_pulldown;1,0;False;;;;36;36;7,805;0,0;completed;0,532;;0,94;
D001;9,51;13;visit;U-0005;;intense;legs;gym;;;True;True;61,56;;1;64,66;0,0;completed;;;25,0;0,0
D001;9,754;14;registration;U-0005;R-01;intense;;R-01;;;;;;;7;2,15;0,0;completed;;2,0;;
D001;10,192;15;visit;U-0006;;express;pull;gym;;;False;False;79,55;;1;17,5;1,21;completed;;;11,0;0,01
D001;10,381;16;registration;U-0006;R-02;express;;R-02;;;;;;;7;1,65;0,0;completed;;2,0;;
D001;10,535;17;exercise;U-0004;;intense;legs;leg_press;1,0;False;;;;26;26;18,945;0,0;completed;0,803;;1,08;
D001;12,171;18;exercise;U-0005;;intense;legs;leg_press;1,0;False;;;;32;32;13,534;0,0;completed;0,321;;0,88;
D001;12,647;19;exercise;U-0006;;express;pull;lat_pulldown;1,0;False;;;;22;22;5,023;0,35;completed;0,438;;0,8;
D001;12,685;20;exercise;U-0002;;standard;pull;seated_row;2,0;False;;;;15;15;7,97;0,0;completed;0,138;;0,85;
D001;13,589;21;exercise;U-0001;;flexible;full_body;chest_fly;2,0;False;;;;46;46;9,201;0,0;completed;0,265;;0,69;
D001;15,223;22;visit;U-0007;;standard;push;gym;;;True;False;82,1;;1;49,43;0,17;completed;;;20,0;0,0
D001;15,406;23;registration;U-0007;R-01;standard;;R-01;;;;;;;7;2,38;0,0;completed;;2,0;;
